ExposureType,MaterialType,Time,SampleNo,Silane,YI,L,a,b,Haze,WaterCA,DiiodoCA,SFEtot,SFEpolar,SFEdisp,edge,center,center.1,center.2,edge.1,edge.2,edge.3,DepNo
DampHeat,FTO,0,sa18950,Yes,,,,,,86.6,,,,,,,,,,,,7
DampHeat,FTO,0,sa18950,Yes,,,,,,94.4,,,,,,,,,,,,7
DampHeat,FTO,0,sa18950,Yes,,,,,,89.2,,,,,,,,,,,,7
DampHeat,FTO,336,sa18950,Yes,3.47,92.2,-0.24,1.87,13.4,14.2,,78,36.6,41.4,7.718,7.655,7.645,7.668,7.781,7.727,7.736,7
DampHeat,FTO,336,sa18950,Yes,,,,,,10.4,,78,36.6,41.4,,,,,,,,
DampHeat,FTO,336,sa18950,Yes,,,,,,9.6,,78,36.6,41.4,,,,,,,,
DampHeat,FTO,336,sa18950,Yes,,,,,,6.9,,78,36.6,41.4,,,,,,,,
DampHeat,FTO,336,sa18950,Yes,,,,,,33.8,,78,36.6,41.4,,,,,,,,
DampHeat,FTO,0,sa18951,Yes,,,,,,114.9,,,,,,,,,,,,8
DampHeat,FTO,0,sa18951,Yes,,,,,,103.2,,,,,,,,,,,,8
DampHeat,FTO,0,sa18951,Yes,,,,,,86.1,,,,,,,,,,,,8
DampHeat,FTO,0,sa18951,Yes,,,,,,79.1,,,,,,,,,,,,8
DampHeat,FTO,0,sa18951,Yes,,,,,,102.9,,,,,,,,,,,,8
DampHeat,FTO,336,sa18951,Yes,3.4,92.25,-0.23,1.84,12.8,,15.2,78,36.6,41.4,7.75,7.677,7.668,7.659,7.759,7.732,7.732,8
DampHeat,FTO,336,sa18951,Yes,,,,,,,19.9,78,36.6,41.4,,,,,,,,
DampHeat,FTO,336,sa18951,Yes,,,,,,,10.3,78,36.6,41.4,,,,,,,,
DampHeat,FTO,336,sa18951,Yes,,,,,,,11.8,78,36.6,41.4,,,,,,,,
DampHeat,FTO,336,sa18951,Yes,,,,,,,25.1,78,36.6,41.4,,,,,,,,
HotQUV,ITO,0,sa18952,Yes,5.47,94.83,-0.13,2.93,0,78.5,,,,,,,,,,,,1
HotQUV,ITO,0,sa18952,Yes,,,,,,63.4,,,,,,,,,,,,1
HotQUV,ITO,0,sa18952,Yes,,,,,,66.2,,,,,,,,,,,,1
HotQUV,ITO,164.3,sa18952,Yes,5.36,94.88,-0.12,2.87,0.1,18.3,,71.8,39.6,32.2,71,50,48,50,56,51,51,1
HotQUV,ITO,164.3,sa18952,Yes,,,,,,19.3,,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,164.3,sa18952,Yes,,,,,,20.5,,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,164.3,sa18952,Yes,,,,,,20.6,,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,164.3,sa18952,Yes,,,,,,22.5,,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,0,sa18953,Yes,,,,,,77.5,,,,,,,,,,,,2
HotQUV,ITO,0,sa18953,Yes,,,,,,68.6,,,,,,,,,,,,2
HotQUV,ITO,0,sa18953,Yes,,,,,,75.1,,,,,,,,,,,,2
HotQUV,ITO,164.3,sa18953,Yes,5.31,94.88,-0.13,2.85,0.1,,43,71.8,39.6,32.2,64,50,48,50,63,51,51,2
HotQUV,ITO,164.3,sa18953,Yes,,,,,,,43.1,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,164.3,sa18953,Yes,,,,,,,42.9,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,164.3,sa18953,Yes,,,,,,,43.2,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,164.3,sa18953,Yes,,,,,,,43.4,71.8,39.6,32.2,,,,,,,,
HotQUV,ITO,0,sa18954,Yes,,,,,,86.3,,,,,,,,,,,,3
HotQUV,ITO,0,sa18954,Yes,,,,,,74.5,,,,,,,,,,,,3
HotQUV,ITO,0,sa18954,Yes,,,,,,81.7,,,,,,,,,,,,3
HotQUV,ITO,334.1,sa18954,Yes,5.21,94.89,-0.13,2.8,0.2,29.9,,66,33.8,32.3,59,50,48,50,62,50,51,3
HotQUV,ITO,334.1,sa18954,Yes,,,,,,36.1,,66,33.8,32.3,,,,,,,,
HotQUV,ITO,334.1,sa18954,Yes,,,,,,38.9,,66,33.8,32.3,,,,,,,,
HotQUV,ITO,334.1,sa18954,Yes,,,,,,31.6,,66,33.8,32.3,,,,,,,,
HotQUV,ITO,334.1,sa18954,Yes,,,,,,31.7,,66,33.8,32.3,,,,,,,,
HotQUV,ITO,0,sa18955,Yes,,,,,,74.7,,,,,,,,,,,,4
HotQUV,ITO,0,sa18955,Yes,,,,,,74.3,,,,,,,,,,,,4
HotQUV,ITO,0,sa18955,Yes,,,,,,68.8,,,,,,,,,,,,4
HotQUV,ITO,334.1,sa18955,Yes,5.47,94.84,-0.12,2.93,0.1,,43.2,66,33.8,32.3,59,50,48,50,64,50,52,4
HotQUV,ITO,334.1,sa18955,Yes,,,,,,,43.2,66,33.8,32.3,,,,,,,,
HotQUV,ITO,334.1,sa18955,Yes,,,,,,,42.6,66,33.8,32.3,,,,,,,,
HotQUV,ITO,334.1,sa18955,Yes,,,,,,,43.8,66,33.8,32.3,,,,,,,,
HotQUV,ITO,334.1,sa18955,Yes,,,,,,,43.3,66,33.8,32.3,,,,,,,,
HotQUV,AZO,0,sa18956,Yes,5.16,93.57,-1.34,3.24,0.1,75,,,,,,,,,,,,1
HotQUV,AZO,0,sa18956,Yes,,,,,,71.1,,,,,,,,,,,,1
HotQUV,AZO,0,sa18956,Yes,,,,,,73,,,,,,,,,,,,1
HotQUV,AZO,164.3,sa18956,Yes,5.13,93.64,-1.38,3.23,0.5,9.2,,77.6,39.9,37.8,9.34,9.096,9.123,9.15,9.309,9.227,9.34,1
HotQUV,AZO,164.3,sa18956,Yes,,,,,,9.6,,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,164.3,sa18956,Yes,,,,,,7.1,,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,164.3,sa18956,Yes,,,,,,8.4,,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,164.3,sa18956,Yes,,,,,,8.7,,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,0,sa18957,Yes,,,,,,75.9,,,,,,,,,,,,2
HotQUV,AZO,0,sa18957,Yes,,,,,,69.9,,,,,,,,,,,,2
HotQUV,AZO,0,sa18957,Yes,,,,,,67.3,,,,,,,,,,,,2
HotQUV,AZO,164.3,sa18957,Yes,5.14,93.55,-1.36,3.23,0.6,,30.6,77.6,39.9,37.8,9.322,9.232,9.227,9.291,9.476,9.386,9.313,2
HotQUV,AZO,164.3,sa18957,Yes,,,,,,,60.3,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,164.3,sa18957,Yes,,,,,,,24.3,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,164.3,sa18957,Yes,,,,,,,28.6,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,164.3,sa18957,Yes,,,,,,,30,77.6,39.9,37.8,,,,,,,,
HotQUV,AZO,0,sa18958,Yes,,,,,,81.3,,,,,,,,,,,,3
HotQUV,AZO,0,sa18958,Yes,,,,,,81.9,,,,,,,,,,,,3
HotQUV,AZO,0,sa18958,Yes,,,,,,88.8,,,,,,,,,,,,3
HotQUV,AZO,334.1,sa18958,Yes,5.04,93.64,-1.47,3.22,0.6,11.4,,76.5,39.8,36.7,9.336,9.227,9.241,9.282,9.449,9.417,9.458,3
HotQUV,AZO,334.1,sa18958,Yes,,,,,,14,,76.5,39.8,36.7,,,,,,,,
HotQUV,AZO,334.1,sa18958,Yes,,,,,,9.4,,76.5,39.8,36.7,,,,,,,,
HotQUV,AZO,334.1,sa18958,Yes,,,,,,10.3,,76.5,39.8,36.7,,,,,,,,
HotQUV,AZO,334.1,sa18958,Yes,,,,,,12.3,,76.5,39.8,36.7,,,,,,,,
HotQUV,AZO,0,sa18959,Yes,,,,,,83.1,,,,,,,,,,,,4
HotQUV,AZO,0,sa18959,Yes,,,,,,82.3,,,,,,,,,,,,4
HotQUV,AZO,0,sa18959,Yes,,,,,,84.6,,,,,,,,,,,,4
HotQUV,AZO,334.1,sa18959,Yes,5.14,93.57,-1.37,3.23,0.6,,30.2,76.5,39.8,36.7,9.263,9.155,9.096,9.087,9.309,9.291,9.304,4
HotQUV,AZO,334.1,sa18959,Yes,,,,,,,31.5,76.5,39.8,36.7,,,,,,,,
HotQUV,AZO,334.1,sa18959,Yes,,,,,,,33.4,76.5,39.8,36.7,,,,,,,,
HotQUV,AZO,334.1,sa18959,Yes,,,,,,,33,76.5,39.8,36.7,,,,,,,,
HotQUV,AZO,334.1,sa18959,Yes,,,,,,,30.5,76.5,39.8,36.7,,,,,,,,
HotQUV,FTO,0,sa18960,Yes,4.24,92.04,-0.32,2.3,6.5,82.4,,,,,,,,,,,,1
HotQUV,FTO,0,sa18960,Yes,,,,,,81.7,,,,,,,,,,,,1
HotQUV,FTO,0,sa18960,Yes,,,,,,78.5,,,,,,,,,,,,1
HotQUV,FTO,164.3,sa18960,Yes,3.53,92.13,-0.24,1.9,13.1,4,,78.9,39.9,39,7.709,7.655,7.645,7.627,7.772,7.741,7.7,1
HotQUV,FTO,164.3,sa18960,Yes,,,,,,3.2,,78.9,39.9,39,,,,,,,,
HotQUV,FTO,164.3,sa18960,Yes,,,,,,3.5,,78.9,39.9,39,,,,,,,,
HotQUV,FTO,164.3,sa18960,Yes,,,,,,3.5,,78.9,39.9,39,,,,,,,,
HotQUV,FTO,164.3,sa18960,Yes,,,,,,3.5,,78.9,39.9,39,,,,,,,,
HotQUV,FTO,0,sa18961,Yes,,,,,,75.5,,,,,,,,,,,,2
HotQUV,FTO,0,sa18961,Yes,,,,,,62.2,,,,,,,,,,,,2
HotQUV,FTO,0,sa18961,Yes,,,,,,39.5,,,,,,,,,,,,2
HotQUV,FTO,0,sa18961,Yes,,,,,,64,,,,,,,,,,,,2
HotQUV,FTO,0,sa18961,Yes,,,,,,60.2,,,,,,,,,,,,2
HotQUV,FTO,164.3,sa18961,Yes,3.64,92.07,-0.25,1.96,12.8,,17.2,78.9,39.9,39,7.596,7.541,7.546,7.573,7.713,7.609,7.668,2
HotQUV,FTO,164.3,sa18961,Yes,,,,,,,19,78.9,39.9,39,,,,,,,,
HotQUV,FTO,164.3,sa18961,Yes,,,,,,,29.6,78.9,39.9,39,,,,,,,,
HotQUV,FTO,164.3,sa18961,Yes,,,,,,,27.9,78.9,39.9,39,,,,,,,,
HotQUV,FTO,164.3,sa18961,Yes,,,,,,,30.4,78.9,39.9,39,,,,,,,,
HotQUV,FTO,0,sa18962,Yes,,,,,,95.7,,,,,,,,,,,,3
HotQUV,FTO,0,sa18962,Yes,,,,,,89.2,,,,,,,,,,,,3
HotQUV,FTO,0,sa18962,Yes,,,,,,96.3,,,,,,,,,,,,3
HotQUV,FTO,0,sa18962,Yes,,,,,,98.7,,,,,,,,,,,,3
HotQUV,FTO,0,sa18962,Yes,,,,,,92.3,,,,,,,,,,,,3
HotQUV,FTO,334.1,sa18962,Yes,3.54,92.15,-0.21,1.9,13.1,10,,75.9,40.5,35.5,7.695,7.65,7.609,7.664,7.809,7.763,7.677,3
HotQUV,FTO,334.1,sa18962,Yes,,,,,,13.7,,75.9,40.5,35.5,,,,,,,,
HotQUV,FTO,334.1,sa18962,Yes,,,,,,11.1,,75.9,40.5,35.5,,,,,,,,
HotQUV,FTO,334.1,sa18962,Yes,,,,,,10.1,,75.9,40.5,35.5,,,,,,,,
HotQUV,FTO,334.1,sa18962,Yes,,,,,,9.7,,75.9,40.5,35.5,,,,,,,,
HotQUV,FTO,0,sa18963,Yes,,,,,,73.6,,,,,,,,,,,,4
HotQUV,FTO,0,sa18963,Yes,,,,,,59,,,,,,,,,,,,4
HotQUV,FTO,0,sa18963,Yes,,,,,,59,,,,,,,,,,,,4
HotQUV,FTO,0,sa18963,Yes,,,,,,78.6,,,,,,,,,,,,4
HotQUV,FTO,0,sa18963,Yes,,,,,,64.3,,,,,,,,,,,,4
HotQUV,FTO,334.1,sa18963,Yes,3.56,92.12,-0.22,1.91,12.9,,42.4,75.9,40.5,35.5,7.682,7.645,7.609,7.645,7.781,7.741,7.695,4
HotQUV,FTO,334.1,sa18963,Yes,,,,,,,32.4,75.9,40.5,35.5,,,,,,,,
HotQUV,FTO,334.1,sa18963,Yes,,,,,,,33.6,75.9,40.5,35.5,,,,,,,,
HotQUV,FTO,334.1,sa18963,Yes,,,,,,,33.3,75.9,40.5,35.5,,,,,,,,
HotQUV,FTO,334.1,sa18963,Yes,,,,,,,33.7,75.9,40.5,35.5,,,,,,,,
