ExposureType,MaterialType,Time,SampleNo,Silane,YI,L,a,b,Haze,WaterCA,DiiodoCA,SFEtot,SFEpolar,SFEdisp,edge,center,center.1,center.2,edge.1,edge.2,edge.3,DepNo
Cyclic,AZO,837,sa18821,No,,,,,,12.3,,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18821,No,,,,,,14.5,,84,35.9,48,,,,,,,,
Cyclic,AZO,0,sa18822,No,5.13,,,,0.7,,,,,,9.164,8.96,8.982,8.991,9.073,9.168,9.137,
Cyclic,AZO,837,sa18822,No,6.67,,,,2.7,9.3,,84,35.9,48,10.911,12.117,11.914,12.566,12.433,11.312,11.804,
Cyclic,AZO,837,sa18822,No,,,,,,8.5,,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18822,No,,,,,,9.1,,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18822,No,,,,,,,12.2,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18822,No,,,,,,,6.5,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18822,No,,,,,,,39.7,84,35.9,48,,,,,,,,
Cyclic,AZO,0,sa18823,No,5.26,,,,0.9,,,,,,10.297,9.966,9.844,10.07,10.115,9.853,10.165,
Cyclic,AZO,837,sa18823,No,6.8,,,,4.5,,19,84,35.9,48,11.114,13.106,13.018,13.064,13.923,12.981,13.223,
Cyclic,AZO,837,sa18823,No,,,,,,,11.4,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18823,No,,,,,,,13.8,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18823,No,,,,,,,19.1,84,35.9,48,,,,,,,,
Cyclic,AZO,837,sa18823,No,,,,,,,14.3,84,35.9,48,,,,,,,,
Cyclic,AZO,0,sa18824,No,5.21,,,,0.6,,,82.4,37.2,45.2,9.105,8.978,9.019,8.982,9.1,9.15,9.114,
Cyclic,AZO,1004,sa18824,No,6.59,,,,4.5,8.4,,85.6,35.6,50,11.334,11.144,10.919,11.631,11.596,11.181,11.277,
Cyclic,AZO,1004,sa18824,No,,,,,,7.5,,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18824,No,,,,,,10.8,,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18824,No,,,,,,12,,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18824,No,,,,,,13.1,,85.6,35.6,50,,,,,,,,
Cyclic,AZO,0,sa18825,No,5.25,,,,0.8,,,82.4,37.2,45.2,9.291,9.132,9.159,9.164,9.322,9.3,9.277,
Cyclic,AZO,1004,sa18825,No,6.83,,,,3,6.9,,85.6,35.6,50,11.275,12.293,12.153,13.04,12.942,12.029,12.81,
Cyclic,AZO,1004,sa18825,No,,,,,,5.9,,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18825,No,,,,,,7.6,,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18825,No,,,,,,,11.5,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18825,No,,,,,,,8.6,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18825,No,,,,,,,7.7,85.6,35.6,50,,,,,,,,
Cyclic,AZO,0,sa18826,No,5.22,,,,0.8,,,82.4,37.2,45.2,10.789,10.366,10.277,10.532,10.604,10.318,10.518,
Cyclic,AZO,1004,sa18826,No,7,,,,4.8,,12.5,85.6,35.6,50,11.275,12.293,12.153,13.04,12.942,12.029,12.81,
Cyclic,AZO,1004,sa18826,No,,,,,,,7.3,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18826,No,,,,,,,8.7,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18826,No,,,,,,,12.7,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18826,No,,,,,,8.5,,85.6,35.6,50,,,,,,,,
Cyclic,AZO,1004,sa18826,No,,,,,,12.4,,85.6,35.6,50,,,,,,,,
HotQUV,ITO,0,sa18827,No,5.87,94.67,-0.08,3.12,0.1,3.8,,78.8,41,37.9,62,50,48,49,63,52,50,
HotQUV,ITO,0,sa18827,No,,,,,,4.8,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18827,No,,,,,,3.9,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18827,No,,,,,,4.5,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18827,No,,,,,,4.7,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,163.75,sa18827,No,6.11,94.54,-0.05,3.23,0,4.6,,76.2,42.9,33.4,60,51,48,50,59,48,50,
HotQUV,ITO,163.75,sa18827,No,,,,,,4.2,,76.2,42.9,33.4,,,,,,,,
HotQUV,ITO,163.75,sa18827,No,,,,,,4.7,,76.2,42.9,33.4,,,,,,,,
HotQUV,ITO,163.75,sa18827,No,,,,,,3.9,,76.2,42.9,33.4,,,,,,,,
HotQUV,ITO,163.75,sa18827,No,,,,,,4,,76.2,42.9,33.4,,,,,,,,
DampHeat,ITO,0,sa18827,No,5.87,94.67,-0.08,3.12,0.1,3.8,,78.8,41,37.9,62,50,48,49,63,52,50,
DampHeat,ITO,0,sa18827,No,,,,,,4.8,,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18827,No,,,,,,3.9,,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18827,No,,,,,,4.5,,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18827,No,,,,,,4.7,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18828,No,5.96,94.64,-0.07,3.16,0.1,4.2,,78.8,41,37.9,58,50,48,49,56,50,53,
HotQUV,ITO,0,sa18828,No,,,,,,4.4,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18828,No,,,,,,5.4,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18828,No,,,,,,5,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18828,No,,,,,,3.9,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,163.75,sa18828,No,6.01,94.59,-0.05,3.18,0,,43,76.2,42.9,33.4,65,51,48,49,56,49,51,
HotQUV,ITO,163.75,sa18828,No,,,,,,,39.9,76.2,42.9,33.4,,,,,,,,
HotQUV,ITO,163.75,sa18828,No,,,,,,,40.3,76.2,42.9,33.4,,,,,,,,
HotQUV,ITO,163.75,sa18828,No,,,,,,,40.6,76.2,42.9,33.4,,,,,,,,
HotQUV,ITO,163.75,sa18828,No,,,,,,,37.9,76.2,42.9,33.4,,,,,,,,
DampHeat,ITO,0,sa18828,No,5.96,94.64,-0.07,3.16,0.1,4.2,,78.8,41,37.9,58,50,48,49,56,50,53,
DampHeat,ITO,0,sa18828,No,,,,,,4.4,,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18828,No,,,,,,5.4,,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18828,No,,,,,,5,,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18828,No,,,,,,3.9,,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18829,No,5.94,94.69,-0.08,3.16,0,,28.9,78.8,41,37.9,59,51,49,50,56,51,51,
HotQUV,ITO,0,sa18829,No,,,,,,,29.8,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18829,No,,,,,,,27.8,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18829,No,,,,,,,27.9,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18829,No,,,,,,,27.9,78.8,41,37.9,,,,,,,,
HotQUV,ITO,326.5666667,sa18829,No,6.15,94.53,-0.07,3.26,0.2,3.2,,76.3,43,33.3,66,51,49,52,61,50,53,
HotQUV,ITO,326.5666667,sa18829,No,,,,,,3.5,,76.3,43,33.3,,,,,,,,
HotQUV,ITO,326.5666667,sa18829,No,,,,,,3.2,,76.3,43,33.3,,,,,,,,
HotQUV,ITO,326.5666667,sa18829,No,,,,,,3.4,,76.3,43,33.3,,,,,,,,
HotQUV,ITO,326.5666667,sa18829,No,,,,,,3.4,,76.3,43,33.3,,,,,,,,
DampHeat,ITO,0,sa18829,No,5.94,94.69,-0.08,3.16,0,,28.9,78.8,41,37.9,59,51,49,50,56,51,51,
DampHeat,ITO,0,sa18829,No,,,,,,,29.8,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18829,No,,,,,,,27.8,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18829,No,,,,,,,27.9,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18829,No,,,,,,,27.9,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18830,No,5.87,94.68,-0.08,3.12,0.1,,28.6,78.8,41,37.9,61,49,48,49,60,50,51,
HotQUV,ITO,0,sa18830,No,,,,,,,28.2,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18830,No,,,,,,,28.7,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18830,No,,,,,,,27.3,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18830,No,,,,,,,29.3,78.8,41,37.9,,,,,,,,
HotQUV,ITO,326.5666667,sa18830,No,6.09,94.5,-0.03,3.21,0,,40,76.3,43,33.3,61,50,48,50,57,48,50,
HotQUV,ITO,326.5666667,sa18830,No,,,,,,,39.5,76.3,43,33.3,,,,,,,,
HotQUV,ITO,326.5666667,sa18830,No,,,,,,,41.6,76.3,43,33.3,,,,,,,,
HotQUV,ITO,326.5666667,sa18830,No,,,,,,,42.4,76.3,43,33.3,,,,,,,,
HotQUV,ITO,326.5666667,sa18830,No,,,,,,,38.8,76.3,43,33.3,,,,,,,,
DampHeat,ITO,0,sa18830,No,5.87,94.68,-0.08,3.12,0.1,,28.6,78.8,41,37.9,61,49,48,49,60,50,51,
DampHeat,ITO,0,sa18830,No,,,,,,,28.2,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18830,No,,,,,,,28.7,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18830,No,,,,,,,27.3,78.8,41,37.9,,,,,,,,
DampHeat,ITO,0,sa18830,No,,,,,,,29.3,78.8,41,37.9,,,,,,,,
HotQUV,ITO,0,sa18831,No,6.12,94.6,-0.07,3.25,0,,,,,,62,50,48,49,57,51,51,
HotQUV,ITO,485,sa18831,No,6.27,94.48,-0.03,3.3,0.1,2.8,,75.2,43.4,31.8,65,52,50,51,64,50,55,
HotQUV,ITO,485,sa18831,No,,,,,,3.5,,75.2,43.4,31.8,,,,,,,,
HotQUV,ITO,485,sa18831,No,,,,,,3.5,,75.2,43.4,31.8,,,,,,,,
HotQUV,ITO,485,sa18831,No,,,,,,3.8,,75.2,43.4,31.8,,,,,,,,
HotQUV,ITO,485,sa18831,No,,,,,,2.4,,75.2,43.4,31.8,,,,,,,,
DampHeat,ITO,0,sa18831,No,6.12,94.6,-0.07,3.25,0,,,,,,62,50,48,49,57,51,51,
HotQUV,ITO,0,sa18832,No,6.07,94.65,-0.07,3.22,0.1,,,,,,61,52,50,51,61,53,52,
HotQUV,ITO,485,sa18832,No,6.23,94.53,-0.03,3.29,0.3,,44.9,75.2,43.4,31.8,66,53,51,54,65,53,56,
HotQUV,ITO,485,sa18832,No,,,,,,,43.4,75.2,43.4,31.8,,,,,,,,
HotQUV,ITO,485,sa18832,No,,,,,,,45.5,75.2,43.4,31.8,,,,,,,,
HotQUV,ITO,485,sa18832,No,,,,,,,42.7,75.2,43.4,31.8,,,,,,,,
HotQUV,ITO,485,sa18832,No,,,,,,,43.5,75.2,43.4,31.8,,,,,,,,
DampHeat,ITO,0,sa18832,No,6.07,94.65,-0.07,3.22,0.1,,,,,,61,52,50,51,61,53,52,
HotQUV,ITO,0,sa18833,No,5.83,94.7,-0.09,3.1,0.1,,,,,,58,49,47,48,61,49,49,
HotQUV,ITO,485,sa18833,No,,,,,,,,,,,,,,,,,,
DampHeat,ITO,0,sa18833,No,5.83,94.7,-0.09,3.1,0.1,,,,,,58,49,47,48,61,49,49,
HotQUV,ITO,0,sa18834,No,6.01,94.69,-0.08,3.2,0.1,,,,,,63,49,47,48,59,48,49,
HotQUV,ITO,485,sa18834,No,,,,,,,,,,,,,,,,,,
DampHeat,ITO,0,sa18834,No,6.01,94.69,-0.08,3.2,0.1,,,,,,63,49,47,48,59,48,49,
HotQUV,ITO,0,sa18835,No,5.86,94.68,-0.07,3.11,0.1,,,,,,62,49,47,49,57,51,50,
HotQUV,ITO,818.4166667,sa18835,No,6.02,94.56,-0.04,3.18,0.2,4.4,,75.6,42.8,32.9,57,49,47,49,64,49,51,
HotQUV,ITO,818.4,sa18835,No,,,,,,3.2,,75.6,42.8,32.9,,,,,,,,
HotQUV,ITO,818.4,sa18835,No,,,,,,2.9,,75.6,42.8,32.9,,,,,,,,
HotQUV,ITO,818.4,sa18835,No,,,,,,3.3,,75.6,42.8,32.9,,,,,,,,
HotQUV,ITO,818.4,sa18835,No,,,,,,3,,75.6,42.8,32.9,,,,,,,,
DampHeat,ITO,0,sa18835,No,5.86,94.68,-0.07,3.11,0.1,,,,,,62,49,47,49,57,51,50,
HotQUV,ITO,0,sa18836,No,5.97,94.64,-0.07,3.17,0.1,,,,,,62,50,47,49,59,49,50,
HotQUV,ITO,818.4,sa18836,No,6.17,94.49,-0.03,3.26,0.4,,41.1,75.6,42.8,32.9,61,49,47,49,60,50,51,
HotQUV,ITO,818.4,sa18836,No,,,,,,,42,75.6,42.8,32.9,,,,,,,,
HotQUV,ITO,818.4,sa18836,No,,,,,,,41.3,75.6,42.8,32.9,,,,,,,,
HotQUV,ITO,818.4,sa18836,No,,,,,,,41.9,75.6,42.8,32.9,,,,,,,,
HotQUV,ITO,818.4,sa18836,No,,,,,,,41,75.6,42.8,32.9,,,,,,,,
DampHeat,ITO,0,sa18836,No,5.97,94.64,-0.07,3.17,0.1,,,,,,62,50,47,49,59,49,50,
HotQUV,ITO,0,sa18837,No,5.86,94.68,-0.1,3.12,0,,,,,,59,49,47,49,59,49,50,
DampHeat,ITO,0,sa18837,No,5.86,94.68,-0.1,3.12,0,,,,,,59,49,47,49,59,49,50,
HotQUV,ITO,0,sa18838,No,5.9,94.67,-0.08,3.14,0.1,,,,,,59,49,47,49,62,50,50,
DampHeat,ITO,0,sa18838,No,5.9,94.67,-0.08,3.14,0.1,,,,,,59,49,47,49,62,50,50,
HotQUV,FTO,0,sa18839,No,3.52,92.36,-0.28,1.92,15.7,2.5,,82.2,39.4,42.8,8.076,8.004,7.981,8.004,8.158,8.108,8.008,
HotQUV,FTO,0,sa18839,No,,,,,,1.8,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18839,No,,,,,,1.9,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18839,No,,,,,,3.3,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18839,No,,,,,,2.3,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,163.8,sa18839,No,4.49,92.05,-0.36,2.45,6.6,4.7,,80.1,39.8,40.3,8.04,7.972,7.936,7.963,8.099,8.094,8.053,
HotQUV,FTO,163.8,sa18839,No,,,,,,6.3,,80.1,39.8,40.3,,,,,,,,
HotQUV,FTO,163.8,sa18839,No,,,,,,8,,80.1,39.8,40.3,,,,,,,,
HotQUV,FTO,163.8,sa18839,No,,,,,,8.8,,80.1,39.8,40.3,,,,,,,,
HotQUV,FTO,163.8,sa18839,No,,,,,,7.8,,80.1,39.8,40.3,,,,,,,,
DampHeat,FTO,0,sa18839,No,3.52,92.36,-0.28,1.92,15.7,2.5,,82.2,39.4,42.8,8.076,8.004,7.981,8.004,8.158,8.108,8.008,
DampHeat,FTO,0,sa18839,No,,,,,,1.8,,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18839,No,,,,,,1.9,,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18839,No,,,,,,3.3,,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18839,No,,,,,,2.3,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18840,No,3.42,92.48,-0.29,1.87,15.4,2.4,,82.2,39.4,42.8,8.09,7.999,7.981,8.017,8.117,8.099,8.085,
HotQUV,FTO,0,sa18840,No,,,,,,2.1,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18840,No,,,,,,1.8,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,163.8,sa18840,No,4.11,92.31,-0.37,2.26,7.5,,19.2,80.1,39.8,40.3,8.049,7.958,7.958,8.004,8.194,8.044,8.062,
HotQUV,FTO,163.8,sa18840,No,,,,,,,20.5,80.1,39.8,40.3,,,,,,,,
HotQUV,FTO,163.8,sa18840,No,,,,,,,19.8,80.1,39.8,40.3,,,,,,,,
HotQUV,FTO,163.8,sa18840,No,,,,,,,18.6,80.1,39.8,40.3,,,,,,,,
HotQUV,FTO,163.8,sa18840,No,,,,,,,22.9,80.1,39.8,40.3,,,,,,,,
DampHeat,FTO,0,sa18840,No,3.42,92.48,-0.29,1.87,15.4,2.4,,82.2,39.4,42.8,8.09,7.999,7.981,8.017,8.117,8.099,8.085,
DampHeat,FTO,0,sa18840,No,,,,,,2.1,,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18840,No,,,,,,1.8,,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18841,No,3.49,92.49,-0.29,1.91,15.6,,5,82.2,39.4,42.8,8.117,8.013,7.994,8.022,8.198,8.076,8.071,
HotQUV,FTO,0,sa18841,No,,,,,,,5.9,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18841,No,,,,,,,5,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18841,No,,,,,,,7.3,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18841,No,,,,,,,7.6,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,326.6,sa18841,No,4.39,92.03,-0.34,2.39,8.1,4,,80.7,39.8,40.9,8.044,7.976,7.981,7.985,8.117,8.099,8.108,
HotQUV,FTO,326.6,sa18841,No,,,,,,5,,80.7,39.8,40.9,,,,,,,,
HotQUV,FTO,326.6,sa18841,No,,,,,,5.2,,80.7,39.8,40.9,,,,,,,,
HotQUV,FTO,326.6,sa18841,No,,,,,,5.4,,80.7,39.8,40.9,,,,,,,,
HotQUV,FTO,326.6,sa18841,No,,,,,,6.5,,80.7,39.8,40.9,,,,,,,,
DampHeat,FTO,0,sa18841,No,3.49,92.49,-0.29,1.91,15.6,,5,82.2,39.4,42.8,8.117,8.013,7.994,8.022,8.198,8.076,8.071,
DampHeat,FTO,0,sa18841,No,,,,,,,5.9,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18841,No,,,,,,,5,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18841,No,,,,,,,7.3,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18841,No,,,,,,,7.6,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18842,No,3.29,92.36,-0.24,1.79,16.3,,5.2,82.2,39.4,42.8,7.741,7.713,7.677,7.668,7.795,7.718,7.75,
HotQUV,FTO,0,sa18842,No,,,,,,,4.5,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18842,No,,,,,,,6.2,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18842,No,,,,,,,4.3,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18842,No,,,,,,,6.3,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,326.6,sa18842,No,4.28,91.98,-0.3,2.31,6.3,,21.9,80.7,39.8,40.9,7.736,7.7,7.655,7.65,7.768,7.709,7.759,
HotQUV,FTO,326.6,sa18842,No,,,,,,,15.6,80.7,39.8,40.9,,,,,,,,
HotQUV,FTO,326.6,sa18842,No,,,,,,,18.8,80.7,39.8,40.9,,,,,,,,
HotQUV,FTO,326.6,sa18842,No,,,,,,,17,80.7,39.8,40.9,,,,,,,,
HotQUV,FTO,326.6,sa18842,No,,,,,,,17.1,80.7,39.8,40.9,,,,,,,,
DampHeat,FTO,0,sa18842,No,3.29,92.36,-0.24,1.79,16.3,,5.2,82.2,39.4,42.8,7.741,7.713,7.677,7.668,7.795,7.718,7.75,
DampHeat,FTO,0,sa18842,No,,,,,,,4.5,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18842,No,,,,,,,6.2,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18842,No,,,,,,,4.3,82.2,39.4,42.8,,,,,,,,
DampHeat,FTO,0,sa18842,No,,,,,,,6.3,82.2,39.4,42.8,,,,,,,,
HotQUV,FTO,0,sa18843,No,3.32,92.3,-0.23,1.8,14.8,,,,,,7.786,7.763,7.664,7.704,7.858,7.709,7.723,
HotQUV,FTO,485,sa18843,No,3.66,92.1,-0.22,1.96,12.7,2.2,,81.1,38.6,42.5,7.718,7.664,7.618,7.627,7.772,7.754,7.804,
HotQUV,FTO,485,sa18843,No,,,,,,2.3,,81.1,38.6,42.5,,,,,,,,
HotQUV,FTO,485,sa18843,No,,,,,,2.5,,81.1,38.6,42.5,,,,,,,,
DampHeat,FTO,0,sa18843,No,3.32,92.3,-0.23,1.8,14.8,,,,,,7.786,7.763,7.664,7.704,7.858,7.709,7.723,
HotQUV,FTO,0,sa18844,No,3.45,92.37,-0.29,1.89,15.1,,,,,,8.049,7.985,7.976,8.013,8.144,8.022,8.049,
HotQUV,FTO,485,sa18844,No,3.65,92.17,-0.27,1.98,13.3,,7.9,81.1,38.6,42.5,8.004,7.945,7.954,7.981,8.149,8.062,8.071,
HotQUV,FTO,485,sa18844,No,,,,,,,8.1,81.1,38.6,42.5,,,,,,,,
HotQUV,FTO,485,sa18844,No,,,,,,,8.9,81.1,38.6,42.5,,,,,,,,
HotQUV,FTO,485,sa18844,No,,,,,,,9.9,81.1,38.6,42.5,,,,,,,,
HotQUV,FTO,485,sa18844,No,,,,,,,9.8,81.1,38.6,42.5,,,,,,,,
DampHeat,FTO,0,sa18844,No,3.45,92.37,-0.29,1.89,15.1,,,,,,8.049,7.985,7.976,8.013,8.144,8.022,8.049,
HotQUV,FTO,0,sa18845,No,3.38,92.23,-0.25,1.84,15.1,,,,,,7.677,7.609,7.573,7.609,7.723,7.627,7.596,
DampHeat,FTO,0,sa18845,No,3.38,92.23,-0.25,1.84,15.1,,,,,,7.677,7.609,7.573,7.609,7.723,7.627,7.596,
HotQUV,FTO,0,sa18846,No,3.31,92.25,-0.23,1.79,16.1,,,,,,7.65,7.591,7.591,7.6,7.695,7.673,7.677,
DampHeat,FTO,0,sa18846,No,3.31,92.25,-0.23,1.79,16.1,,,,,,7.65,7.591,7.591,7.6,7.695,7.673,7.677,
HotQUV,FTO,0,sa18847,No,3.45,92.3,-0.25,1.87,15.7,,,,,,7.704,7.655,7.618,7.686,7.745,7.641,7.686,
HotQUV,FTO,818.4,sa18847,No,3.72,92.06,-0.23,2,13.1,1.7,,80.8,38.8,42,7.7,7.645,7.591,7.659,7.709,7.65,7.704,
HotQUV,FTO,818.4,sa18847,No,,,,,,1.7,,80.8,38.8,42,,,,,,,,
HotQUV,FTO,818.4,sa18847,No,,,,,,1.6,,80.8,38.8,42,,,,,,,,
HotQUV,FTO,818.4,sa18847,No,,,,,,2,,80.8,38.8,42,,,,,,,,
DampHeat,FTO,0,sa18847,No,3.45,92.3,-0.25,1.87,15.7,,,,,,7.704,7.655,7.618,7.686,7.745,7.641,7.686,
HotQUV,FTO,0,sa18848,No,3.47,92.24,-0.29,1.9,15.2,,,,,,7.537,7.455,7.442,7.46,7.528,7.496,7.523,
HotQUV,FTO,818.4,sa18848,No,3.59,92.11,-0.29,1.96,13.3,,11.1,80.8,38.8,42,7.505,7.442,7.405,7.451,7.614,7.514,7.541,
HotQUV,FTO,818.4,sa18848,No,,,,,,,11.8,80.8,38.8,42,,,,,,,,
HotQUV,FTO,818.4,sa18848,No,,,,,,,12.1,80.8,38.8,42,,,,,,,,
HotQUV,FTO,818.4,sa18848,No,,,,,,,11.6,80.8,38.8,42,,,,,,,,
HotQUV,FTO,818.4,sa18848,No,,,,,,,14.8,80.8,38.8,42,,,,,,,,
DampHeat,FTO,0,sa18848,No,3.47,92.24,-0.29,1.9,15.2,,,,,,7.537,7.455,7.442,7.46,7.528,7.496,7.523,
HotQUV,FTO,0,sa18849,No,3.39,92.36,-0.29,1.86,15.5,,,,,,7.496,7.419,7.419,7.432,7.578,7.496,7.473,
DampHeat,FTO,0,sa18849,No,3.39,92.36,-0.29,1.86,15.5,,,,,,7.496,7.419,7.419,7.432,7.578,7.496,7.473,
HotQUV,FTO,0,sa18850,No,3.48,92.23,-0.3,1.9,16,,,,,,7.523,7.442,7.446,7.405,7.392,7.491,7.469,
DampHeat,FTO,0,sa18850,No,3.48,92.23,-0.3,1.9,16,,,,,,7.523,7.442,7.446,7.405,7.392,7.491,7.469,
HotQUV,AZO,0,sa18851,No,5.15,93.43,-1.06,3.11,0.6,5.7,,80.5,39.6,40.9,9.608,9.585,9.689,9.794,10.011,9.798,9.78,
HotQUV,AZO,0,sa18851,No,,,,,,7.1,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,0,sa18851,No,,,,,,8.7,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,0,sa18851,No,,,,,,9,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,0,sa18851,No,,,,,,8,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,163.8,sa18851,No,5.11,93.59,-1.15,3.13,0,1.7,,82.1,39.4,42.7,9.984,9.889,9.848,9.921,10.143,10.12,9.911,
HotQUV,AZO,163.8,sa18851,No,,,,,,2.6,,82.1,39.4,42.7,,,,,,,,
DampHeat,AZO,0,sa18851,No,5.15,93.43,-1.06,3.11,0.6,5.7,,80.5,39.6,40.9,9.608,9.585,9.689,9.794,10.011,9.798,9.78,
DampHeat,AZO,0,sa18851,No,,,,,,7.1,,80.5,39.6,40.9,,,,,,,,
DampHeat,AZO,0,sa18851,No,,,,,,8.7,,80.5,39.6,40.9,,,,,,,,
DampHeat,AZO,0,sa18851,No,,,,,,9,,80.5,39.6,40.9,,,,,,,,
DampHeat,AZO,0,sa18851,No,,,,,,8,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,0,sa18852,No,5.29,93.41,-0.95,3.14,0.6,3.9,,80.5,39.6,40.9,9.717,9.64,9.649,9.721,9.948,9.748,9.794,
HotQUV,AZO,0,sa18852,No,,,,,,7,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,0,sa18852,No,,,,,,7.7,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,0,sa18852,No,,,,,,6.4,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,0,sa18852,No,,,,,,8.1,,80.5,39.6,40.9,,,,,,,,
HotQUV,AZO,163.8,sa18852,No,5.09,93.64,-1.09,3.1,0.1,,7.1,82.1,39.4,42.7,9.848,9.816,9.853,9.898,10.206,10.016,10.011,
HotQUV,AZO,163.8,sa18852,No,,,,,,,7.2,82.1,39.4,42.7,,,,,,,,
HotQUV,AZO,163.8,sa18852,No,,,,,,,8.7,82.1,39.4,42.7,,,,,,,,
HotQUV,AZO,163.8,sa18852,No,,,,,,,4.9,82.1,39.4,42.7,,,,,,,,
HotQUV,AZO,163.8,sa18852,No,,,,,,,9.1,82.1,39.4,42.7,,,,,,,,
DampHeat,AZO,0,sa18852,No,5.29,93.41,-0.95,3.14,0.6,3.9,,80.5,39.6,40.9,9.717,9.64,9.649,9.721,9.948,9.748,9.794,
