Sample,Product,Exposure,Step_Retained
sa25003.15,B-Melinex238,Multifactor,5
sa25003.16,B-Melinex238,Multifactor,6
sa25003.17,B-Melinex238,Multifactor,7
sa25003.18,B-Melinex238,Multifactor,8
sa25003.19,B-Melinex238,Multifactor,9
sa25003.20,B-Melinex238,Multifactor,10
sa25003.21,B-Melinex238,,
sa25003.22,B-Melinex238,,
sa25003.23,B-Melinex238,,
sa25003.24,B-Melinex238,,
sa25003.25,B-Melinex238,,
sa25004.01,A-Melinex626,1x-RW,1
sa25004.02,A-Melinex626,1x-RW,2
sa25004.03,A-Melinex626,1x-RW,3
sa25004.04,A-Melinex626,1x-RW,4
sa25004.05,A-Melinex626,1x-RW,5
sa25004.06,A-Melinex626,1x-RW,6
sa25004.07,A-Melinex626,1x-RW,7
sa25004.08,A-Melinex626,4x-RW,1
sa25004.09,A-Melinex626,4x-RW,2
sa25004.10,A-Melinex626,4x-RW,3
sa25004.11,A-Melinex626,4x-RW,4
sa25004.12,A-Melinex626,4x-RW,5
sa25004.13,A-Melinex626,4x-RW,6
sa25004.14,A-Melinex626,4x-RW,7
sa25004.15,A-Melinex626,HotQUV,1
sa25004.16,A-Melinex626,HotQUV,2
sa25004.17,A-Melinex626,HotQUV,3
sa25004.18,A-Melinex626,HotQUV,4
sa25004.19,A-Melinex626,HotQUV,5
sa25004.20,A-Melinex626,HotQUV,6
sa25004.21,A-Melinex626,HotQUV,7
sa25004.22,A-Melinex626,HotQUV,8
sa25004.23,A-Melinex626,HotQUV,9
sa25004.24,A-Melinex626,HotQUV,10
sa25004.25,A-Melinex626,CyclicQUV,1
sa25004.26,A-Melinex626,CyclicQUV,2
sa25004.27,A-Melinex626,CyclicQUV,3
sa25004.28,A-Melinex626,CyclicQUV,4
sa25004.29,A-Melinex626,CyclicQUV,5
sa25004.30,A-Melinex626,CyclicQUV,6
sa25004.31,A-Melinex626,CyclicQUV,7
sa25004.32,A-Melinex626,CyclicQUV,8
sa25004.33,A-Melinex626,CyclicQUV,9
sa25004.34,A-Melinex626,CyclicQUV,10
sa25004.35,A-Melinex626,DampHeat1,1
sa25004.36,A-Melinex626,DampHeat1,2
sa25004.37,A-Melinex626,DampHeat1,3
sa25004.38,A-Melinex626,DampHeat1,4
sa25004.39,A-Melinex626,DampHeat1,5
sa25004.40,A-Melinex626,DampHeat1,6
sa25004.41,A-Melinex626,DampHeat1,7
sa25004.42,A-Melinex626,DampHeat1,8
sa25004.43,A-Melinex626,DampHeat1,9
sa25004.44,A-Melinex626,DampHeat1,10
sa25004.45,A-Melinex626,,
sa25004.46,A-Melinex626,,
sa25004.47,A-Melinex626,,
sa25004.48,A-Melinex626,,
sa25004.49,A-Melinex626,,
sa25005.01,A-Melinex626,HumidityFreeze,1
sa25005.02,A-Melinex626,HumidityFreeze,2
sa25005.03,A-Melinex626,HumidityFreeze,3
sa25005.04,A-Melinex626,HumidityFreeze,4
sa25005.05,A-Melinex626,HumidityFreeze,5
sa25005.06,A-Melinex626,HumidityFreeze,6
sa25005.07,A-Melinex626,HumidityFreeze,7
sa25005.08,A-Melinex626,HumidityFreeze,8
sa25005.09,A-Melinex626,HumidityFreeze,9
sa25005.10,A-Melinex626,HumidityFreeze,10
sa25005.11,A-Melinex626,Multifactor,1
sa25005.12,A-Melinex626,Multifactor,2
sa25005.13,A-Melinex626,Multifactor,3
sa25005.14,A-Melinex626,Multifactor,4
sa25005.15,A-Melinex626,Multifactor,5
sa25005.16,A-Melinex626,Multifactor,6
sa25005.17,A-Melinex626,Multifactor,7
sa25005.18,A-Melinex626,Multifactor,8
sa25005.19,A-Melinex626,Multifactor,9
sa25005.20,A-Melinex626,Multifactor,10
sa25005.21,A-Melinex626,,
sa25005.22,A-Melinex626,,
sa25005.23,A-Melinex626,,
sa25005.24,A-Melinex626,,
sa25005.25,A-Melinex626,,
sa25006.01,A-Melinex618,1x-RW,1
sa25006.02,A-Melinex618,1x-RW,2
sa25006.03,A-Melinex618,1x-RW,3
sa25006.04,A-Melinex618,1x-RW,4
sa25006.05,A-Melinex618,1x-RW,5
sa25006.06,A-Melinex618,1x-RW,6
sa25006.07,A-Melinex618,1x-RW,7
sa25006.08,A-Melinex618,4x-RW,1
sa25006.09,A-Melinex618,4x-RW,2
sa25006.10,A-Melinex618,4x-RW,3
sa25006.11,A-Melinex618,4x-RW,4
sa25006.12,A-Melinex618,4x-RW,5
sa25006.13,A-Melinex618,4x-RW,6
sa25006.14,A-Melinex618,4x-RW,7
sa25006.15,A-Melinex618,HotQUV,1
sa25006.16,A-Melinex618,HotQUV,2
sa25006.17,A-Melinex618,HotQUV,3
sa25006.18,A-Melinex618,HotQUV,4
sa25006.19,A-Melinex618,HotQUV,5
sa25006.20,A-Melinex618,HotQUV,6
sa25006.21,A-Melinex618,HotQUV,7
sa25006.22,A-Melinex618,HotQUV,8
sa25006.23,A-Melinex618,HotQUV,9
sa25006.24,A-Melinex618,HotQUV,10
sa25006.25,A-Melinex618,CyclicQUV,1
sa25006.26,A-Melinex618,CyclicQUV,2
sa25006.27,A-Melinex618,CyclicQUV,3
sa25006.28,A-Melinex618,CyclicQUV,4
sa25006.29,A-Melinex618,CyclicQUV,5
sa25006.30,A-Melinex618,CyclicQUV,6
sa25006.31,A-Melinex618,CyclicQUV,7
sa25006.32,A-Melinex618,CyclicQUV,8
sa25006.33,A-Melinex618,CyclicQUV,9
sa25006.34,A-Melinex618,CyclicQUV,10
sa25006.35,A-Melinex618,DampHeat1,1
sa25006.36,A-Melinex618,DampHeat1,2
sa25006.37,A-Melinex618,DampHeat1,3
sa25006.38,A-Melinex618,DampHeat1,4
